Sentence,Alternative1,Alternative2,Alternative3
Will you make an appointment with Mr Ito?,wi rl younagea  mappoimt nen t wit,ha veyo u pee ntodar ktodo m,hmrito
You're a good speaker.,eagood nan yo ureagoodsb ,you r,eaker 
Please let us know what you think.,ple as eled usgno wwh adyo ut hink,,i me akertoh earwh  atyout  himk aboudwhath appenet
I've tried to contact Tom several times.,wice i vetl i edtocont acttom s,iv eseendon o nceord,ev erartines
You should have told me you needed money.,ith in gthat i o weyouso memoney yoush oult hafe  tor dme youmeet edmomey,,you said youw e legoi  ngdohire me
Tom rushed out of his office.,tom ru shed outofhiso  fvice  tomp oun te dhisfiz,tomw alke dawayumh urt,tom
This room smells funny.,dhi sloo msmellsfun  n y,thisr oo misailcomtidion ed,
Tom isn't wearing a shirt.,tw earim  kashirt  tomiz nto meov them,tomisn ,
It will only take a few minutes.,twi rro nl yd ageafewmim utes  it l rreadyin justa n onent,i ,
I know that Tom will be faster at doing that than Mary.,iknowt ha tto mwir rbefaz  ter  atdoimgtha  dd hanmary,ikmowt onk mowzthadmaly  smo d sup po s eddodod hat,i knew to  mwazpr an nimgon azgin  gmarytod othad
Tom and Mary said they were scared., ys ait dheyw erescaled  to nantm arytor dmeth eywerewor ried,d omant mal,
You're spending too much time on the computer.,me y oulespemting toom u chtineont   hecompute,y oulelozinkpr eciouzti,l
I'm having difficulties.,uldp roplem inhavimgdifvic,imcomfrondedwith ad ivfic, u ltiez
It won't let me ask you.,h ewo m dled m easkyou i dw on tl etmeask y,,ou
Tom said Mary is fine.,tom sait n aryis fi,tomsaidtha t malywa z he althy,ne  do
He is such a lazy fellow.,he izsuch al asyf ,he ssu chalaz yfel low,e llow
You're lucky to be alive.,lu ck ytobealive  youlucky te vil,you r e,
It looks terrible.,itlookster rip,itdoesn droo gkoo d,l e
I advise you not to keep company with him.,iad fize younod d ogeebco mbam y wit,d o ntactrig eap latw i thme, hhim
The rooms are all occupied.,t he loomzare alroccubi ed  evelydh inghazap r ice,dh ey hafed heirownbet loom,
Tom isn't as scary as he used to be.,mdoezntligez carym ovie s t oni zn ta s zcalyasheus   edtobe,o,iditnt dhimkto mwas indimi d aded
Tom scanned the list.,nned d helizt  dom izbraste led,toms ca,
Sami felt betrayed.,samife rdbedra  ye d,saniveers guil ty,
Don't touch anything without asking first.,ouch anythimkwit  houtaski mkfirst,dom tt,justtom dbierceany dhi nk
There's a black hole at the center of our galaxy.,dhere sab lac kho leadd  h ecemt erofoulga laxy,ton thi n kshesthe cent erof theun iverse,my sock h asah o re imid
They helped Tom.,dheyhel pe dtom  d idtom h er,tonw assupb ortive,pyou
They're classmates.,class mates  wearei ndh eza m ec razs,theyle,
"Mary is looking for her dog, isn't she?",dzh e naryiz l oo gingfo lherd o kism t,naryiso nherw ay izn,she
He is his usual self.,nal hei s hisus ual self,nor,dhei d eaist yp icarofh im
He buys all the horses.,ew antzm e dob u yhim apomy hebuyz allt heh,h, o rses
I'm sure Tom doesn't think that.,ithinkth at domisndl ig ht imsuretom toes n tdhim,, gthat 
Ziri and Rima let themselves loose.,z il iantrim alet themzelfesl ooze,zil i antrina gotto gether,ziriandlim a s tartedcough img
He drank a cup of tea and asked for another., mzelfcup ovher bal tea hedra n kacu  pov teaan d as gedvoranodh er,rethi,he ka ve  himzomethingtod rink
"Look, I'm not interested.",otin tele sted  isait im n odimtelest ed,look imm,
Tickets go on sale Monday.,tidig if ey outheti ck ets dicket skoonz a l,,em omday
Why is Tom still standing outside in the rain?,w hy iston z tirlst andingouts   ideinth  erain,why izt oms tayink with you,
"Adolf, could you find the website for me?",ado lfc ouldyo ufi ndtheweb zitefol  me,c a myoudelrme your adtl ess,courd yo uim form newhe reto loo  kforwater
I want something else to eat.,iwa nts  onething elze doea,idrear ly lik etoget  zomethi mgtoea t,d
"If it rains tomorrow, the game will be cancelled.",ivi tlainstomo r low theg amewillbe ca ncel ,i fi dl ainsthe ka mewil  lpecarledof f,let  ivi tr
I feel like Tom is just using me.,i feelliget o m isjust u s imkne  ihad a veel inktonwou ,in eet tom tofo uch f orme,l tt odh ad
I guess you won't be eating with us.,i gu ess y ouwomtpe eati ngw ithus,maybeyou should md ea tdhat,ar e yo u sule you tomtw antt oc omewidhme
Sami should be waking up in a few minutes.,u lt bewagingubi na  fewnin udes  sam is h o uldnakeupabettel excuse,sam isho ,
I'm sure that things will soon get better.,dhat thi ngswillsoon g e tpetder  ido mtt hinkdh esitua tio nwil lket any,im su re,betdel
Tom hadn't considered that possibility.,dmt comzitered dhatbo zzi bilidy  tomp l opablyi zm,domha,dg oinktosayno
Germany is famous for its beer.,mous forit  s beer  gerna myis afleecoum tl,germ amyisfa,y
Ziri spent most of his money on the yacht.,silis pentmosdo fhi sm o  neyonth  eyacht  ziri gav esomewa,si r iwa ss e rli nghizitems doget eno  ugh noneytopayther end,te rt odheew e
A win tonight is vital to stave off the threat of relegation.,w indhe gane aw inton ikhd is v itartoztafe offt h ethrea   dofleregation,he lol nodwe,th ekamewas exc itin gla stnikhd
You've missed a bit.,yo u vemissedap it,,younis z
Can-can can-can can can can can can-can.,c a ncancanca ncancan c a mcan,yesy ouc an,camcan
I had an operation last summer.,i hadano beradionla sds  um mer,i nz ti l labitsor eav termy operation,
I didn't want Tom to overhear our conversation.,i ti dndwanddondoofel healoulc onf er  satiom,i didn tt hi ngdhat to nw  anteddodalg tome,itd bebe tte ri vwedid  nttalkap  outton
Do you think Tom and Mary go to the same school?,hink to m ant maryg o do theza m eschoor  doyo uthimgt o man,doyo ud,dmary areu nsoc iable
Tom said that he thought Mary wasn't afraid.,y ditndl ookn ervous t onsaid th athet houghdn a lywasntavla id,tomsa iddh atmar,tonsait t hat h ed oesndthi ngthadmalyd   oesdhad
I can't understand why you are so critical of him.,iw ondelwhy he wa s solude icamt un d erst an dwhy youare so cl,,idica rofhim
Should we tell Mary she doesn't need to do that?,sh oul dwetelln aryz h e doesn  tneedtod  od had,telrn aryzheshoult  mtdo t hat,
Could I see you rehearse your play?,an iw atchy ou rmextgane c oul di seeyourehea rsey ourp la,c,y
Tom has always been spoiled.,tomwasalw ayzencour agin g tonhasa lwayzbeensp oi l,,ed 
"The brilliant colors possessed by the full-blown flowers are due to the dyes placed in the soil by the Ryls, which are drawn through the little veins in the roots and the body of the plants, as they reach maturity.",llthes e pla ntshelearebois onous thebrilli antcol o lzpo sz e ssedpyth   evurrblo w  nflowelsare du ed odhedyes p la cedi mth es oir bydherylswhich aredrawm  thro ukh th eliddlev ein s ,a,i nth erootzandt heb o dyovdhebramtsa s the yleachmadurity
Vuvuzelas are stupid!,usel asalesd upit  y oua reamidi od,fuf,
Does that seem fair to you?,toes dhadz eemf a irtoyo u,a reyouaps orutel ycertain aboutd his,a reyou fu ckimgkid dingme
"Bursitis is a painful inflammation of a bursa. A bursa is a small sac of fluid that cushions the bones, tendons, and muscles that are located near your joints.",burzi t isisap a im fur invl amn ationo vab ursaabulzaisas n a llsaco fflui d thatcushionzt  h epon esdentom sand nus   cresthata re ro c atednearyourjoinds,,abee zdi mgi sab ainful t hink
They didn't even know what our names were.,n t eve m knowwhadourna meswe re,theyti d,fewzt ut entsknewhizm ane 
Tom was glad Mary was there.,t omwas  gra dmaly wasdhere  tomw ashopi m ghecoul tc heer,domi sh apbyd  o seemary, malyup
Sami didn't respond to Layla's texts.,zanididmt respon ddolayra  stexts,s ami paidray lamonin d,
Sami was on a diet.,sa niwa sha vimg azhid s amiw asonad  iet,,zami is riterarlystarving 
He waited until the last minute.,hewa i teduntilth elaztm imu de  shei zwaiti ng,i waided amhou r,
I don't think that I would enjoy doing that with Tom., t dhink thatiw o ulde mjoy do imkthatwid htom  idomd be riefe domr e alr,it om,ymeedst odothat
I lost my train of thought.,i l ost my trai nofdhouk,tivorci ngcro zzednynin t,ht
I want you to follow Tom.,inee d to ndo vouc hform e iw ant you tofo lrow tom,,ir earl ywant tos eeto n
"To make fig jam, you need figs, sugar, and few lemons.",donag evigjam y o umeedf i gs  s ugaramdfewremo ns,yannineets sug ar tonage so m ev ikjam,eats oneca mdy
They were at the station.,ey wer eadthest atio m,th,theyviside t thebr ace
Tom is always mean to Mary.,tomiza lway z neandom  ary,tom ov te nmagesfu n ofmary,ma rypeladed tom
He barely pays any attention to her.,he parely pa yzanyat temt iontohe ,he tid n t zeem t opaym ucha ttentiontohel,r
Time is in short supply.,s irih ask otdime t imeisinsho lt zu pply,,nodimewa zterz
Tom is the one who found Mary's key.,d omiz t heonewho vou  ntmaryske y  doma mtn,na lytoog do nz carkeys,a ryp icket u ptheirgeyz
Do you still have a dog?,doyo u still hav eat ok  toyo uhav eanexdra b,t oyo uha veanyfam iry,r ank ed
Refresh yourself with a cup of coffee when sleepy.,prin ktoma cu pofc ofv ee refreshyou rserf widha cup ofcovfe ewhe m z reep,,y
Ziri found our car in the middle of the woods.,zil ifou nd ourcalim dhemi d d l eofthewo ots,theca rzwirv edatz il i,silir o ck eddhe geysi  mthecar
The other day her mother passed away in the hospital., rmodher p a ss edaway inthe hosbital  wh emiarlifedbacgpa ztthe cu rf ewtheodherd aydheh ou semo t,theo dher tayhe,herw aze xtremelyamgly
Tom still hasn't bought everything he needs.,mdoezm tnee danyd himgelse tomstirrha sntbo ughtev el ythinghe n eeds,to,ton bo ukhdeve  ryth inkthadwea zkedhim to
The International Labor Organization says the COVID-19 pandemic has wreaked havoc on the youth labor market., r abolol kamisat i omsaysthecofit19  bandenichaswl ea kethav ocontheyoudhra polmarg et  h e avywo lginyo u dhi sq uie dreztinolta ke,t he imte rmationar,
I'm being promoted.,inmakingprogr es s inbeim gpr onoted,,ian li nbingalo ng
Bricks never take the place of ferro-concrete here.,br i cgsneverda g eth e blaceofferroc oncr etehere,,w emeve llocgoul doo ls aloundh ere
Enter your name in the header.,em  delyo ur mameinth eh eader,,p l easeta genyma neo fftheri zt
I didn't know Tom used to be a French teacher., d noi dea thad tomkme who wtospeagfr ench id id m t knowd onused topeaf ren ch teachel,ha,domc a nt teachfremche ithel
We're now alone.,ef un welemo wa lone,mowdha dwe le alon eletshav,shezm ol ongeralo ne
She told everyone that she was cold.,zhe tord net hadshe sthilzt y s het olde  veryon ed hat,,zhewazcort
Do you want to help me here?,to yo uwant to helpm  ehere,t oy ouwam dm e dohelp yougetu   bthele,ifyou me ednyhel pimh e l  ef oryou
I wonder how long Tom will stay there.,iwo n d er howlo ngdomwi rrz taythere  doezanyom ek mow wh entom i scomimk,howmuchno red inedo  youd  hinktomw i  llne ed do todhat,
How much ice cream do you want?,we ztobfori cecleam how muc hi cecre amd  oyouwamt,ydon t,c o ul dyouge dmeso mei cewatel
They're demanding that I be quiet.,theyre de nandi  mgthati bequi ed,,dh eytoldmed hey we re zhy
Yanni is Muslim and he was raised religious.,ya nmi ismuslima ndhewasl a  isedre ligio,ya mniwor ketw ith amusl imwoman,us
I've been in court all day., m inc ou lta lrday,ivebee,i mworm o u tfromho e ingim  thevegetapr egartemarlda y
They entered into conversation.,dhe yender edindocon v  erzation,the yrechadting,
"Felix lifted the window and looked out, but couldn't see anything.",dowamd  loog edout budc o uldndseean ything,felixli ft etth ewim,onhizwaypa cgve lixh ear tastra n g emo ise
Can I hear your comments about this?,ihe  alyourcomnen ds  aboutthiz  canwet alkh e re,c am,
I don't like you enough to marry you.,t rigeyouemought o marryy ou,i d om,ihaf em ad eav owneve rto  gedma lriet
"Tom came into the lunchroom, looking for Mary.",tonca  ne i nt odhelumchr oom r ookingfornary,,d om hasas gedn alyto comeo ver fortin  nertonight
Tom lives a quiet life.,do mr ive saquiet life  t omi,t omis lig elytostil l be alife,saferyqu ietmeig hbor
Brains are weird.,blai nsa rewei  lt,dhes epeoble ar ezo weird,
Tom said that he was innocent.,athewas sd umned toms ai dthat hewas ,tom said th, inmocent
He fights all the time., es dohavehis owmway h e fi khtz alldhedime,ztri,h eofd en dloppe t inonme
Ziri's parents were found.,zil izb alent swerefoumd,zir iwast hingi  ngab outhizparemds,sir iexploredthec a fe
We pay the rent.,paid we p ayd helemt,y,iop ject eddobayi  nkdhebi ll
Which are the favorite questions?,whicha rethevafo rid eques dionz,can iazg aq uestio n,youmu st answerdhezequesti ons 
I want everything that's not working fixed.,iwa ntevel ythingdhat  snotw or kimgfixed  i don twan d to cutamyt,nod ev elythi  mgyoudryworgz,hing
I'm from Sapporo.,i mfr ons appolo,,ili fe imri ga
The music stopped abruptly.,t hemusi csdobbedabluptl y,apprausebrokeo u t,wouldyo um inttur mingtowm then usic 
Tom knows that I'm divorced.,k mowstha tindivor cet  ikm,to n,o wtonr i kezme
You should've changed your mind.,ush ouldvec han get yourmimd  i vecha mgedmymimda,yo,ka im
"Will you pass me the salt, please?",w illyoupaszm edhe sa,ledmebaz sb rea se,  lt bleaze
You know it's going to be hard to do.,y ou gno  wid  sgoi nktobeh ardtodo  iknowy,weknow t had itwo ntcom e easy,ou w ol khald
I'm not the one who caused the accident.,ottheo newh  ocaus ettheacc  ident  ithouk hdthati twa,im n,s ana cciden t
My mother's father is my grandfather.,nymo dh er sfatherizmygramdf a ther,ma ryizmymoth elinla w,my na  d elmalkla ndmothelwaso  neoftheg lea desdw om eni veev elgmowninnyl ife
Tom will be ready to do that by tomorrow.,a  dydod o tha dpytonorlow  to mwi ll bepuzy,tonwil r p ele,a tdhiz timeto norrow
She is a Muslim convert.,in zh eisam usl im,he rbiologicarfath elism usl,co mverd
What time does the mailman come?,d d inetoesthemai lmamc one  whatt ime ale youg edd,wh a,imguptonol row
I met them in Boston.,iwas inv itet toposton im etthem imbos  do,,n
Are you on a budget?,afezavi ngzt ofal lpack om al e you om ,to youh,abudget
Eradicating poverty must be our main goal.,er atic atingboferdy musd beour  maimgoal,hi saim  inlif ei  sdosave momey,wem eet dogedbacgt ot heb  as ics
I wish that you could be here with me right now.,nt yo u toc omehonen ow iwi zht h at youcour  dbehe r ewi thme rightnow,iwa,i tol tyo utom  eed mehere
Damiano boarded a bus., opoarted abus  domda gesa bu st,da nian,ohiz ovvice
I often drink tea.,dr inkar ot ovwatel iofdem tri mkde a,ys,t had teai s pipinghot
Wipe your eyes.,oseyo urbledtyey e s wipeyou r eyez,cl,bl ushyou rselvovf
They told me they were shy.,theyd oldneth ey we l eshy,theys ait theywereumi nble zsed,dhe yt ordm etheywe ree ally
He devoured an entire box of chocolates.,sonab ox ofcandywhi c hhe ob e nedhappiry hed evo u redanen tireboxofcho corades ,ik ave my,to mbough tabox ofco o k ies fornary
He bought her flowers.,heboughdhel fr owe rz,sheb o ukhd himado k,hebou gh tzomefo od vol her
I'm happy that you're happy.,eyouhappy imhap pytha tyou leha ,i wan t tom ak,ppy
"Tom is back early, isn't he?",t oni s packearl yis ndhe ,to mi  son hisw ayhome izn the, tomisq
Sami wanted help with video editing.,miwande dhe lpw ith vide oediting,sa,zanih as to ledo t hisviteo
Why don't we stop for ice cream?,howm uchi ce crean do youwamt w hyt on tw ezdob ,,voli cecleam
Tom told Mary that she should stop pretending to be terrified.,ho u ldstoppr etendi ngtob e suzpicious tomtol dmaryt had shezh o uldztoppl ete nt  inktopetel rivied,z,tomd old na r ydhatshe zhouldqu  itblede ntin gdo pepoor
I would have said it some other way., afe zaidi d som eodherway  itsv un nyyou s houldsayz o,iw oul dh,
Ziri gave the medlars another couple of weeks to blet.,arsanothelcoup  leofw eeksdob let  zirizpi rt ht ayve ll dulimgaweegday,zir ig ave dh eme dl,
"We first spoke English, but then it turned out that Tom came from Austria, and we started talking German.",t omsaith es diledofkerna nicr an kuakes w evir st zpokeen glish   butdhem itd urnedout thattomc a nef rom au stria andw e ztartedtarkinggerman,,t om  arread yzp eakzfl enchbet terdha nispeakemglish
Nobody forgets my country.,nobod yv olkedsmy country,imiz smyhom eto wn,iha rt ly lemenbelm ydream
Around 30% increase in power seen in in-house comparisons with previous model.,a r ou nd30  incleazeimpowerseenini mh ous ecomba rizonzwit hp re viousmodel,,s guraloz t30gilog ramz
This is your one chance.,t hisis y our one chance,,youruck y tevir
Sami winked at me.,saniwi nged atm e  z ami dookn edow ntheh ar,samiazsaulte dm e,l
Things have got very complicated.,thi nksha vegot vel yconblicated  tha tiz averycomp rex,z ometh ing sar edifficulttoum dersdand,m achine
